pair_id,strategy_model,target_impact_scale,proxy_trade_scale,max_participation_rate,total_net_pnl,total_turnover,max_participation_rate_realized,mean_participation_rate,max_abs_position,share_trade_clipped,share_position_clipped,total_fitted_cost_ow_regression,net_pnl_under_ow_regression_eval,total_fitted_cost_reduced_form,net_pnl_under_reduced_form_eval
1,OW_transient_proxy,0.1,0.1,0.005,3665807.9150131526,30902988.244085617,0.005,2.0453714918080894e-05,70544.7302704989,0.0004974407206628132,4.844434571775615e-05,27441.97613937196,3652427.3714099983,52618.48979383301,3627250.857755536
1,OW_transient_proxy,0.1,0.1,0.01,3660538.3230025894,30961116.053750098,0.01,2.0549027144825605e-05,70544.7302704989,0.0004974407206628132,4.844434571775615e-05,35090.037403970404,3644779.310145399,69088.9178947942,3610780.4296545754
1,OW_transient_proxy,0.1,0.1,0.02,3660538.3230025894,30961116.053750098,0.01,2.0549027144825605e-05,70544.7302704989,0.0004974407206628132,4.844434571775615e-05,35090.037403970404,3644779.310145399,69088.9178947942,3610780.4296545754
1,OW_transient_proxy,0.25,0.25,0.005,9793634.491063168,76274355.48288782,0.005,4.9499720771756815e-05,176361.82567624722,0.003102801264751894,0.002653804889806837,83247.98766318687,9762629.260189448,119280.0829660246,9726597.164886612
1,OW_transient_proxy,0.25,0.25,0.01,9769513.908974908,76593190.03568172,0.01,5.001118741824231e-05,176361.82567624722,0.003102801264751894,0.002653804889806837,113533.43370587024,9732343.814146766,166611.51492232166,9679265.732930316
1,OW_transient_proxy,0.25,0.25,0.02,9769513.908974908,76593190.03568172,0.01,5.001118741824231e-05,176361.82567624722,0.003102801264751894,0.002653804889806837,113533.43370587024,9732343.814146766,166611.51492232166,9679265.732930316
1,OW_transient_proxy,0.5,0.5,0.005,18783534.023342296,148238886.73233864,0.005,9.20192511577074e-05,352723.65135249443,0.0181205484372563,0.017616018300146988,202990.21542217562,18721875.641007878,242977.98097143625,18681887.875458617
1,OW_transient_proxy,0.5,0.5,0.01,18770534.596775368,148937787.10562888,0.01,9.29676865619915e-05,352723.65135249443,0.018075648799761795,0.01763019713303999,258703.63538400433,18705303.274891086,315190.9450104361,18648815.965264652
1,OW_transient_proxy,0.5,0.5,0.02,18770534.596775368,148937787.10562888,0.01,9.29676865619915e-05,352723.65135249443,0.018075648799761795,0.01763019713303999,258703.63538400433,18705303.274891086,315190.9450104361,18648815.965264652
1,OW_transient_proxy,1.0,1.0,0.005,32506563.995630432,281235065.50505614,0.005,0.00015925401665155592,705447.3027049889,0.06399379912374813,0.0633829277399413,518526.23118390504,32382040.37493895,562506.7625214765,32338059.843601376
1,OW_transient_proxy,1.0,1.0,0.01,32522364.63015908,282617225.75194424,0.01,0.00016060547983848955,705447.3027049889,0.06390281827935136,0.06344555091855206,624763.372497527,32398621.783266157,673811.6627199934,32349573.49304369
1,OW_transient_proxy,1.0,1.0,0.02,32522364.63015908,282617225.75194424,0.01,0.00016060547983848955,705447.3027049889,0.06390281827935136,0.06344555091855206,624763.372497527,32398621.783266157,673811.6627199934,32349573.49304369
