pair_id,strategy_model,total_fitted_cost_ow_regression,total_abs_fitted_cost_ow_regression,net_pnl_under_ow_regression_eval,mean_abs_marginal_impact_ow_regression_bps,total_fitted_cost_reduced_form,total_abs_fitted_cost_reduced_form,net_pnl_under_reduced_form_eval,mean_abs_marginal_impact_reduced_form_bps
1,OW_transient_proxy,624763.372497527,1222634.9761762074,32398621.783266157,0.2832500681751761,673811.6627199934,2457055.2030850397,32349573.49304369,0.29876524171758334
2,OW_transient_proxy,690710.2398137935,1445347.0734942653,42294300.465153106,0.2200138049101425,893339.3951089347,2907178.292002269,42091671.30985796,0.2998960522212996
3,OW_transient_proxy,655311.0991354729,1015858.2192454376,32470543.073484555,0.14287823038291877,748174.85948187,2436236.01509313,32377679.31313816,0.2774896971105168
4,OW_transient_proxy,543748.3923165757,1480661.791054611,54565155.5816332,0.16576096862696635,289065.023987115,4400385.756758571,54819838.94996266,0.31149222445631575
5,OW_transient_proxy,706812.7298723895,1733281.6042150506,60086411.03858112,0.1819416192196303,341852.9858573532,2932548.8280001846,60451370.782596156,0.26074620882163546
6,OW_transient_proxy,634332.1213437158,1236968.2589848374,38844723.4542018,0.1764330074812582,833661.1284082074,1995375.2425216045,38645394.44713731,0.22137136887289674
7,OW_transient_proxy,833752.7581227394,1638241.892148255,74112378.8126558,0.15960024313632715,1133363.5669411828,2995973.737036261,73812768.00383735,0.27611038517329506
8,OW_transient_proxy,501328.6035224198,1679815.759029649,28169472.91546204,0.22194997375377443,150631.08152866922,2432789.492468792,28520170.43745579,0.2826139380065135
9,OW_transient_proxy,1445091.0265994542,2399431.2990833707,104096519.5225727,0.16441194437528092,2531299.723401397,7292498.058087418,103010310.82577074,0.31591958158038075
10,OW_transient_proxy,816685.1384846612,2128730.5960035343,33571348.18315058,0.16511003222307025,458471.64539756987,3232477.467819116,33929561.67623767,0.279140171926976
11,OW_transient_proxy,616346.7922025272,1038445.8788056206,35392844.77234253,0.11693235856731146,-584263.4329648586,4993299.440413537,36593454.99750991,0.2694063555372776
