pair_id,strategy_model,total_gross_pnl_fitted_proxy,total_fitted_proxy_cost,total_net_pnl_fitted_proxy,total_turnover_fitted_proxy,total_notional_turnover_fitted_proxy,max_drawdown_fitted_proxy,daily_sharpe_fitted_proxy,max_participation_rate_fitted_proxy,mean_participation_rate_fitted_proxy,mean_abs_trade_fitted_proxy,number_of_trades_fitted_proxy
1,OW_transient_proxy,33023385.155763686,501020.52560460614,32522364.63015908,282617225.75194424,42786914373.6982,-1670631.8800003305,1.8811799350475245,0.01,0.00016060547983848955,333.93186805171524,793919
2,OW_transient_proxy,42985010.704966895,605087.3066457817,42379923.398321114,388692970.2260044,49946290252.60051,-871075.6488116458,1.8374106094101736,0.010000000000000002,0.00019045917741368587,411.0973655511781,867653
3,OW_transient_proxy,33125854.172620032,634779.7240739111,32491074.44854612,392948280.8573806,43886273201.03525,-915906.0478836484,1.773232662151497,0.01,0.00018441973896129118,424.1715485458399,866566
4,OW_transient_proxy,55108903.97394978,743653.6675741291,54365250.30637565,451476267.04408896,68202046086.207695,-836232.7642472656,2.107078918114217,0.01,0.00023099427707668125,458.70499912530465,877899
5,OW_transient_proxy,60793223.76845351,669864.8063484582,60123358.96210504,319581783.4299774,72088293168.52766,-833752.2641522139,1.5803806091826895,0.01,0.0002005321018063436,368.9903260716194,783509
6,OW_transient_proxy,39479055.57554552,629395.1577678749,38849660.41777764,380278263.3654003,62368492078.42142,-1118625.506203577,1.9390664096077423,0.01,0.0002399154378115721,402.45600391726515,849906
7,OW_transient_proxy,74946131.57077853,699075.9434912413,74247055.6272873,450426024.252916,78369276424.3433,-712152.1860825485,1.7732071767071056,0.01,0.00024065861558156035,469.9030351571445,855224
8,OW_transient_proxy,28670801.51898446,518936.6554180837,28151864.863566376,270535554.69385916,36172175883.71917,-742417.9309339374,2.0425749875538757,0.01,0.00016984920312196577,310.12947458460053,816768
9,OW_transient_proxy,105541610.54917216,536981.9581192976,105004628.59105286,437291881.2852867,116326563326.1918,-860925.7182141691,4.375278192973899,0.01,0.00027073975014474383,427.80864700708076,901948
10,OW_transient_proxy,34388033.32163525,462351.9807626151,33925681.34087262,321927710.22303987,63299010265.296814,-326504.6113750208,3.3135395800810072,0.01,0.0002479011680650679,374.47519268636927,778919
11,OW_transient_proxy,36009191.564545065,498875.6718440877,35510315.89270098,328152323.9157822,66580499465.02654,-524997.4633750021,2.325869154414436,0.01,0.0003504721269200852,411.77677492010747,661755
