pair_id,scenario_name,scenario_type,total_gross_pnl,total_net_pnl,total_signed_impact_cost_normalized,total_quadratic_impact_cost_normalized,mean_daily_net_pnl,std_daily_net_pnl,daily_sharpe,annualized_sharpe,total_signed_volume_turnover,total_notional_turnover,average_daily_turnover_shares,average_daily_turnover_notional,total_normalized_turnover,max_participation_rate,mean_participation_rate,max_drawdown,max_daily_drawdown,max_abs_position,max_abs_impact,number_of_trades,number_of_stock_days,mean_abs_trade,median_abs_trade,rows,rows_with_scaling,rows_skipped_due_to_missing_scaling,strategy_model,total_fitted_cost_reduced_form,total_abs_fitted_cost_reduced_form,net_pnl_under_reduced_form_eval,mean_abs_marginal_impact_reduced_form_bps,total_fitted_cost_ow_regression,total_abs_fitted_cost_ow_regression,net_pnl_under_ow_regression_eval,mean_abs_marginal_impact_ow_regression_bps
1,signal_delay_1m_OW_transient_proxy,signal_delay_stress,22461759.761934772,21958279.50796425,0.0,503480.2539705205,1155698.9214718025,841878.2079699083,1.3727626045323547,21.791930764331518,282463193.4001076,42738033498.65092,14866483.863163559,2249370184.1395216,135.79184615696616,0.01,0.000160447491240986,-1877874.0044263788,-532264.9768015202,704650.3332677863,0.13973652154705227,791776,380,333.74986813698126,149.2494163943593,846332,846332,0,OW_transient_proxy,662430.537538175,2422911.3544115713,21799329.224396598,0.2983015042019392,627101.8715767605,1226077.5121348463,21834657.890358012,0.2833157180471327
2,signal_delay_1m_OW_transient_proxy,signal_delay_stress,30222863.452990737,29614863.687193103,0.0,607999.7657976393,1410231.6041520524,1044930.7734437537,1.349593331914597,21.424129963902445,388483982.1831503,49877819983.41291,18499237.246816684,2375134284.924424,179.86602168761584,0.010000000000000002,0.00019023356050138057,-1066492.926022634,-477817.29958089814,706808.4531878774,0.15550900704430615,865360,420,410.87633136628125,192.80437994992928,945501,945501,0,OW_transient_proxy,895503.8423088972,2889746.1478664055,29327359.61068184,0.2999397889430802,683822.8722359948,1450119.601889343,29539040.580754742,0.21981513679084813
3,signal_delay_1m_OW_transient_proxy,signal_delay_stress,23901459.690911315,23263933.060081214,0.0,637526.6308301074,1107806.3361943434,750268.7444795307,1.476546030133296,23.439441570434308,392760326.94876546,43840874288.81396,18702872.711845975,2087660680.4197118,170.6715864596332,0.01,0.00018423297580892842,-1015129.4801789932,0.0,673306.5651906166,0.3963032091764536,864347,420,423.9686600122686,175.40807457502706,926390,926390,0,OW_transient_proxy,726335.4428907805,2352054.477499718,23175124.24802054,0.27770930314629455,657622.5847038045,1013290.8036489983,23243837.106207512,0.14290776001780817
4,signal_delay_1m_OW_transient_proxy,signal_delay_stress,36339127.0173056,35592110.601945974,0.0,747016.4153596202,1617823.2091793627,1178277.6815477135,1.3730406970403524,21.79634534603731,451248264.49792856,68144023535.68905,20511284.749905843,3097455615.258592,227.17842760909193,0.01,0.00023081585466272177,-1336713.6231343783,0.0,876659.6528587365,0.10188873505249706,875626,440,458.4733459568628,205.41239738893137,984241,984241,0,OW_transient_proxy,411458.82628355885,4367974.398621781,35927668.19102204,0.31163685086287246,544812.6321569341,1487900.4984908213,35794314.38514867,0.1654925546530556
5,signal_delay_1m_OW_transient_proxy,signal_delay_stress,42723174.43030292,42052009.74785219,0.0,671164.6824507327,2102600.487392609,1680046.823051785,1.2515130284126608,19.86715341442328,319375602.80808,71994403308.14723,15968780.140403997,3599720165.407361,173.53088133013594,0.01,0.00020035940659155887,-1086811.5175551549,0.0,866118.2308531728,0.11115535728726882,781452,400,368.75226915208214,136.34241714687778,866098,866098,0,OW_transient_proxy,325475.62640322756,2838616.7923211493,42397698.80389969,0.2605697702763062,716282.9206973482,1713622.9322718345,42006891.50960557,0.18191853718447265
6,signal_delay_1m_OW_transient_proxy,signal_delay_stress,27120530.69705794,26488025.310547832,0.0,632505.3865101123,1204001.1504794469,792150.3142967636,1.519915006974789,24.12790273446177,380103003.57670337,62311276130.22284,17277409.253486518,2832330733.191948,226.5783820489935,0.01,0.00023979238099616835,-1221855.469605174,0.0,907609.813888741,0.12221098411970058,847503,440,402.27052301814103,181.15007284553394,944894,944894,0,OW_transient_proxy,788060.7227965923,1919231.7712086998,26332469.974261355,0.22124712412502007,627719.1699479925,1230802.7785232002,26492811.52710996,0.17623300396537392
7,signal_delay_1m_OW_transient_proxy,signal_delay_stress,52957247.65187914,52257476.68715728,0.0,699770.9647218644,2375339.84941624,1601638.8268752277,1.4830683482183626,23.54298016018278,450141394.4168128,78302802139.9635,20460972.473491486,3559218279.08925,230.51642469884342,0.01,0.0002404842566528473,-744204.7470316067,0.0,700780.2207593272,0.06276025875938568,852951,424,469.60609755434274,206.70650926693452,958551,958551,0,OW_transient_proxy,1114697.0313274073,2926476.551625395,51842550.620551735,0.27611236082997265,804144.2096912806,1638691.9474092196,52153103.44218786,0.15956112069074757
8,signal_delay_1m_OW_transient_proxy,signal_delay_stress,19998606.364023633,19478348.730553117,0.0,520257.633470522,973917.4365276557,592909.2605820803,1.642607901876125,26.075592059722887,270405468.7344128,36140097881.38768,13520273.436720636,1807004894.069384,148.08994228610396,0.01,0.0001697634754308903,-1050262.0231687278,-180609.6601553457,477504.422770976,0.19686743079775282,814457,400,309.9803500442066,147.33673204030856,872331,872331,0,OW_transient_proxy,132755.38887562338,2420575.014768829,19865850.975148015,0.28260591797656504,456115.84542324074,1678059.1347171068,19542490.518600397,0.2218062309710014
9,signal_delay_1m_OW_transient_proxy,signal_delay_stress,81448779.41682537,80909876.65543163,0.0,538902.7613937248,3517820.7241492025,975071.1810885514,3.6077578666841252,57.271380634698694,437137764.43280625,116310484362.10951,19005989.757948097,5056977580.961283,276.69629485255217,0.01,0.00027069578146482145,-778563.546169281,0.0,934082.2576840258,0.07406567037092197,899469,460,427.6578723758508,188.2342457855557,1022167,1022167,0,OW_transient_proxy,2085821.6842714248,7129088.026691455,79362957.73255394,0.31593391798708387,1366673.3010535385,2371378.4984324807,80082106.11577184,0.1642476550050583
10,signal_delay_1m_OW_transient_proxy,signal_delay_stress,22748795.907256737,22283330.28519772,0.0,465465.62205901486,1114166.514259886,504299.6806966722,2.2093341655911902,35.072092591156114,321712761.4750909,63245789398.74598,16085638.073754545,3162289469.937299,212.91830659890627,0.01,0.0002476724474411974,-452256.4398187697,0.0,441368.69137728127,0.07629368433798361,776743,400,374.2251583735414,195.8281440364044,859677,859677,0,OW_transient_proxy,469961.9670676399,3194603.309307485,22278833.940189093,0.2790478835799861,755608.4790785735,2119237.89138975,21993187.42817816,0.165103217011404
