pair_id,scenario_name,scenario_type,rf_true_correct_model_pnl,rf_true_wrong_model_pnl,wrong_model_loss_rf_true,ow_true_correct_model_pnl,ow_true_wrong_model_pnl,wrong_model_loss_ow_true,net_pnl_difference_rf_minus_ow,impact_evaluator_sensitivity_net_pnl_difference_rf_minus_ow
1,wrong_model_strategy_misspecification,wrong_model_strategy_misspecification,30343185.29891652,32349573.49304369,2006388.1941271722,32398621.783266157,30039799.2352884,-2358822.5479777567,-2055436.4843496382,-49048.29022246599
2,wrong_model_strategy_misspecification,wrong_model_strategy_misspecification,41613759.48070466,42091671.30985796,477911.82915329933,42294300.465153106,41326735.61255661,-967564.852596499,-680540.9844484478,-202629.1552951485
3,wrong_model_strategy_misspecification,wrong_model_strategy_misspecification,33874500.46219955,32377679.31313816,-1496821.1490613855,32470543.073484555,31853742.088897172,-616800.9845873825,1403957.3887149915,-92863.76034639403
4,wrong_model_strategy_misspecification,wrong_model_strategy_misspecification,55716384.38618465,54819838.94996266,-896545.436221987,54565155.5816332,54877021.74386427,311866.16223106533,1151228.804551445,254683.36832945794
5,wrong_model_strategy_misspecification,wrong_model_strategy_misspecification,70254071.12598217,60451370.782596156,-9802700.34338601,60086411.03858112,69477594.27336664,9391183.234785527,10167660.087401047,364959.744015038
6,wrong_model_strategy_misspecification,wrong_model_strategy_misspecification,39287251.92397606,38645394.44713731,-641857.4768387452,38844723.4542018,38102773.22165163,-741950.232550174,442528.46977425367,-199329.0070644915
7,wrong_model_strategy_misspecification,wrong_model_strategy_misspecification,49656463.304101095,73812768.00383735,24156304.699736252,74112378.8126558,49619412.5032334,-24492966.309422404,-24455915.508554712,-299610.8088184595
8,wrong_model_strategy_misspecification,wrong_model_strategy_misspecification,29364135.127845515,28520170.43745579,-843964.6903897263,28169472.91546204,28623974.684138656,454501.76867661625,1194662.2123834752,350697.52199374884
9,wrong_model_strategy_misspecification,wrong_model_strategy_misspecification,49343176.09878478,103010310.82577074,53667134.726985954,104096519.5225727,46946623.75619879,-57149895.7663739,-54753343.423787914,-1086208.6968019605
10,wrong_model_strategy_misspecification,wrong_model_strategy_misspecification,32925014.709285185,33929561.67623767,1004546.9669524878,33571348.18315058,31026667.192447633,-2544680.9907029495,-646333.4738653973,358213.49308709055
11,wrong_model_strategy_misspecification,wrong_model_strategy_misspecification,39003601.538318306,36593454.99750991,-2410146.5408083946,35392844.77234253,34702725.48749535,-690119.284847185,3610756.7659757733,1200610.2251673788
