pair_id,scenario_name,scenario_type,rf_true_correct_model_pnl,rf_true_wrong_model_pnl,wrong_model_loss_rf_true,ow_true_correct_model_pnl,ow_true_wrong_model_pnl,wrong_model_loss_ow_true,net_pnl_difference_rf_minus_ow,impact_evaluator_sensitivity_net_pnl_difference_rf_minus_ow,fixed_path_strategy_model,total_fitted_cost_ow_regression,total_abs_fitted_cost_ow_regression,net_pnl_under_ow_regression_eval,mean_abs_marginal_impact_ow_regression_bps,total_fitted_cost_reduced_form,total_abs_fitted_cost_reduced_form,net_pnl_under_reduced_form_eval,mean_abs_marginal_impact_reduced_form_bps,total_cost_difference_rf_minus_ow,degradation_rf_vs_ow,corr_between_ow_and_rf_marginal_impact
1,wrong_model_strategy_misspecification,wrong_model_strategy_misspecification,30343185.29891652,32349573.49304369,2006388.1941271722,32398621.783266157,30039799.2352884,-2358822.5479777567,-2055436.4843496382,-49048.29022246599,,,,,,,,,,,,
1,impact_evaluator_sensitivity_same_OW_transient_proxy_trade_path,impact_evaluator_sensitivity,,,,,,,-49048.29022246599,,OW_transient_proxy,624763.372497527,1222634.9761762074,32398621.783266157,0.2832500681751761,673811.6627199934,2457055.2030850397,32349573.49304369,0.2987652417175833,49048.290222466305,-49048.29022246599,0.5703708543288464
1,wrong_model_strategy_misspecification,wrong_model_strategy_misspecification,30343185.29891652,32349573.49304369,2006388.194127172,32398621.783266157,30039799.2352884,-2358822.5479777567,-2055436.4843496385,-49048.29022246599,,,,,,,,,,,,
2,wrong_model_strategy_misspecification,wrong_model_strategy_misspecification,41613759.48070466,42091671.30985796,477911.82915329933,42294300.465153106,41326735.61255661,-967564.852596499,-680540.9844484478,-202629.1552951485,,,,,,,,,,,,
2,impact_evaluator_sensitivity_same_OW_transient_proxy_trade_path,impact_evaluator_sensitivity,,,,,,,-202629.1552951485,,OW_transient_proxy,690710.2398137935,1445347.073494265,42294300.465153106,0.2200138049101425,893339.3951089347,2907178.292002269,42091671.30985796,0.2998960522212996,202629.15529514133,-202629.1552951485,0.5631465957397327
2,wrong_model_strategy_misspecification,wrong_model_strategy_misspecification,41613759.48070466,42091671.30985796,477911.82915329933,42294300.465153106,41326735.61255661,-967564.852596499,-680540.9844484478,-202629.1552951485,,,,,,,,,,,,
3,wrong_model_strategy_misspecification,wrong_model_strategy_misspecification,33874500.46219955,32377679.31313816,-1496821.1490613855,32470543.073484555,31853742.088897172,-616800.9845873825,1403957.3887149915,-92863.76034639403,,,,,,,,,,,,
3,impact_evaluator_sensitivity_same_OW_transient_proxy_trade_path,impact_evaluator_sensitivity,,,,,,,-92863.76034639405,,OW_transient_proxy,655311.0991354729,1015858.2192454376,32470543.073484555,0.1428782303829187,748174.85948187,2436236.01509313,32377679.31313816,0.2774896971105168,92863.76034639706,-92863.76034639405,0.4756253910973224
3,wrong_model_strategy_misspecification,wrong_model_strategy_misspecification,33874500.46219955,32377679.31313816,-1496821.1490613855,32470543.073484555,31853742.088897172,-616800.9845873825,1403957.3887149915,-92863.76034639405,,,,,,,,,,,,
4,wrong_model_strategy_misspecification,wrong_model_strategy_misspecification,55716384.38618465,54819838.94996266,-896545.436221987,54565155.5816332,54877021.74386427,311866.16223106533,1151228.804551445,254683.36832945794,,,,,,,,,,,,
