pair_id,target_impact_scale,max_participation_rate,total_net_pnl,total_turnover,max_participation_rate_realized,mean_participation_rate,max_abs_position,share_trade_clipped,share_position_clipped,total_fitted_cost_reduced_form,net_pnl_under_reduced_form_eval
1,0.1,0.005,4313167.304112496,3054722941.204455,0.005,0.0028569608559438826,462046.46190476196,0.5129027379326316,0.09714981827462509,15540252.718087846,-11227085.413975133
1,0.1,0.01,4092044.027321463,5471515874.883404,0.01,0.004713484699353555,462046.46190476196,0.43245794794477815,0.10673589087970206,54347744.53342576,-50255700.50610396
1,0.1,0.02,4092044.027321463,5471515874.883404,0.01,0.004713484699353555,462046.46190476196,0.43245794794477815,0.10673589087970206,54347744.53342576,-50255700.50610396
1,0.25,0.005,9609634.93460995,3321356728.30647,0.005,0.0033243743398367488,462046.46190476196,0.6888041572338043,0.15613612624832807,18355151.214178443,-8745516.279568048
1,0.25,0.01,9435868.719168097,5935121665.139589,0.01,0.0056898731488617856,462046.46190476196,0.5936346492865684,0.18103415680843923,60990333.00561094,-51554464.2864421
1,0.25,0.02,9435868.719168097,5935121665.139589,0.01,0.0056898731488617856,462046.46190476196,0.5936346492865684,0.18103415680843923,60990333.00561094,-51554464.2864421
1,0.5,0.005,14816151.3993157,3452750194.8404894,0.005,0.003551046833967772,462046.46190476196,0.7999862937948701,0.19877778460462325,20357580.686851595,-5541429.287535216
1,0.5,0.01,15156049.871565945,6240067084.2335,0.01,0.006258580250914802,462046.46190476196,0.7222650212918807,0.23731348926898663,68233809.9337638,-53077760.06219663
1,0.5,0.02,15156049.871565945,6240067084.2335,0.01,0.006258580250914802,462046.46190476196,0.7222650212918807,0.23731348926898663,68233809.9337638,-53077760.06219663
1,1.0,0.005,20729035.60849797,3522071087.3097477,0.005,0.0036830633419133465,462046.46190476196,0.8808458146448439,0.2351949353208906,21723418.01511381,-994382.4066149043
1,1.0,0.01,22170316.151852123,6447507207.090933,0.01,0.0066169157297863886,462046.46190476196,0.8249575816582617,0.2880217219719921,74694673.919687,-52524357.76783311
1,1.0,0.02,22170316.151852123,6447507207.090933,0.01,0.0066169157297863886,462046.46190476196,0.8249575816582617,0.2880217219719921,74694673.919687,-52524357.76783311
